"smmtext","Text","marstext","smm_loop.thisRepN","smm_loop.thisTrialN","smm_loop.thisN","smm_loop.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","mars_loop.thisRepN","mars_loop.thisTrialN","mars_loop.thisN","mars_loop.thisIndex","ageindex.response","key_resp_5.keys","key_resp_5.corr","key_resp_5.rt","handdomresp.keys","handdomresp.rt","rating_2.response","rating_2.rt","rating.response","rating.rt","rating_3.response","rating_3.rt","date","frameRate","expName","session","participant","X"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",1,3.41560866401,"",NA,NA,NA,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"r",4.39851723086,NA,NA,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"1.  The effects of stress are negative and should be avoided.","","",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,2,39.469,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"2.  Experiencing stress facilitates my learning and growth.","","",0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,3,3.216,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"3.  Experiencing stress depletes my health and vitality.","","",0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,4,1.251,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"4.  Experiencing stress enhances my performance and productivity.","","",0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,2,3.4,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"5.  Experiencing stress inhibits my learning and growth.","","",0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,1,4.933,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"6.  Experiencing stress improves my health and vitality.","","",0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,2,0.768,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
"7.  Experiencing stress debilitates my performance and productivity.","","",0,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,3,0.801,NA,NA,NA,NA,"2016_Nov_11_1330",60.0331268741,"SMM-Brief COPE",1,"mike",NA
